split,cohort_week,rows,prior_approval_rate,mean_prior_underwriter_score,mean_requested_amount,bank_feed_link_rate,observed_default_rate
validation,1,391,0.5294117647058824,0.4476194643818266,28722.828060631844,0.6035805626598465,0.20772946859903382
validation,2,372,0.5913978494623656,0.48530667735186783,28779.57288576379,0.6451612903225806,0.2318181818181818
validation,3,345,0.5478260869565217,0.4530898402774465,28505.398203904366,0.6260869565217392,0.19576719576719576
validation,4,368,0.5978260869565217,0.4874556819912416,28530.47723096958,0.6684782608695652,0.16818181818181818
validation,5,387,0.537467700258398,0.4499487515458449,28543.44721430375,0.627906976744186,0.25961538461538464
validation,6,363,0.5482093663911846,0.44753144117137345,28335.17202357058,0.6225895316804407,0.20100502512562815
validation,7,371,0.5525606469002695,0.4433107788861418,28018.64995355499,0.628032345013477,0.1902439024390244
validation,8,374,0.5935828877005348,0.4897020794746029,28243.138657164774,0.6229946524064172,0.22522522522522523
validation,9,327,0.5321100917431193,0.4467389206603747,28272.236689786754,0.6452599388379205,0.1896551724137931
validation,10,355,0.5802816901408451,0.4618021485662884,27888.96896727231,0.6394366197183099,0.2087378640776699
validation,11,271,0.6531365313653137,0.5210395003686124,27376.534147095594,0.6642066420664207,0.1977401129943503
validation,12,286,0.583916083916084,0.4613737757139495,28183.94776017701,0.6223776223776224,0.23952095808383234
validation,13,279,0.5627240143369175,0.45323860369732527,27631.660286027916,0.6379928315412187,0.15286624203821655
test,1,736,0.5394021739130435,0.4516291323524714,29073.826841821498,0.6209239130434783,
test,2,734,0.5681198910081744,0.46477289715103715,28964.615288819223,0.6130790190735694,
test,3,726,0.5619834710743802,0.4484638239506555,28232.41999134294,0.6212121212121212,
test,4,714,0.572829131652661,0.4578638276383988,28545.498571735847,0.6358543417366946,
test,5,778,0.5437017994858612,0.45023445801449485,28391.440801155462,0.6452442159383034,
test,6,698,0.5544412607449857,0.45505599702470634,27950.354919263213,0.6547277936962751,
test,7,683,0.5651537335285505,0.46683006786017633,28268.514806062685,0.6207906295754027,
test,8,702,0.5740740740740741,0.4669227733486409,28030.858424018024,0.6239316239316239,
test,9,666,0.5915915915915916,0.4809947862882197,28038.760590785794,0.6651651651651652,
test,10,610,0.5639344262295082,0.45889015541718864,27515.332930031283,0.6131147540983607,
test,11,553,0.5641952983725136,0.45207046888637425,27787.482513698757,0.6274864376130199,
test,12,597,0.5611390284757118,0.45819428511492066,27964.306128462867,0.6331658291457286,
test,13,620,0.5629032258064516,0.4700557773788019,27543.849628722626,0.65,
validation+test,1,1127,0.5359361135758651,0.45023802305653343,28952.05175446999,0.6149068322981367,0.20772946859903382
validation+test,2,1106,0.5759493670886076,0.4716793765675915,28902.376795205644,0.6238698010849909,0.2318181818181818
validation+test,3,1071,0.5574229691876751,0.4499539972772128,28320.354149450966,0.6227824463118581,0.19576719576719576
validation+test,4,1082,0.5813308687615527,0.46792834002457817,28540.38964992255,0.6469500924214417,0.16818181818181818
validation+test,5,1165,0.5416309012875536,0.45013954951375024,28441.935635394424,0.6394849785407726,0.25961538461538464
validation+test,6,1061,0.5523091423185674,0.4524816202341693,28082.01242054839,0.6437323279924599,0.20100502512562815
validation+test,7,1054,0.5607210626185958,0.45855145665584346,28180.5642744874,0.6233396584440227,0.1902439024390244
validation+test,8,1076,0.5808550185873605,0.47484048755970953,28104.643560818102,0.6236059479553904,0.22522522522522523
validation+test,9,993,0.5720040281973817,0.46971415380050036,28115.64546930877,0.6586102719033232,0.1896551724137931
validation+test,10,965,0.5699481865284974,0.4599614067829197,27652.78452922358,0.6227979274611399,0.2087378640776699
validation+test,11,824,0.5934466019417476,0.4747532450170618,27652.328378565926,0.6395631067961165,0.1977401129943503
validation+test,12,883,0.5685164212910532,0.45922410879705233,28035.44713261943,0.6296715741789355,0.23952095808383234
validation+test,13,899,0.5628476084538376,0.46483665451213674,27571.101212024267,0.646273637374861,0.15286624203821655
