column,from_week,to_week,mean_from,mean_to,std_jump,abs_std_jump
application_timestamp,3,4,,,1.0000000000000002,1.0000000000000002
application_timestamp,2,3,,,1.0,1.0
application_timestamp,5,6,,,1.0,1.0
application_timestamp,10,11,,,1.0,1.0
application_timestamp,12,13,,,1.0,1.0
application_timestamp,4,5,,,1.0,1.0
application_timestamp,11,12,,,1.0,1.0
application_timestamp,8,9,,,1.0,1.0
application_timestamp,7,8,,,1.0,1.0
application_timestamp,1,2,,,1.0,1.0
application_timestamp,9,10,,,1.0,1.0
application_timestamp,6,7,,,0.9999999999999999,0.9999999999999999
payroll_regularity_score,11,12,0.5383631208145561,0.4966691443877188,-0.21390107171388428,0.21390107171388428
observed_cash_balance_p10,11,12,444.8432568783374,-54.306994576676296,-0.16551175052646042,0.16551175052646042
observed_revenue_trend_3mo,3,4,-0.41304504071893666,-0.48137237194516824,-0.1599156233535562,0.1599156233535562
sector,1,2,1.388642413487134,1.581374321880651,0.14546632525891232,0.14546632525891232
observed_revenue_trend_3mo,10,11,-0.39291521804830504,-0.45420540942321624,-0.1434456605179813,0.1434456605179813
prior_loans_amount_total,2,3,3306.7164819160525,4162.626978792874,0.13065393205692666,0.13065393205692666
observed_revenue_trend_3mo,11,12,-0.45420540942321624,-0.5087187504444548,-0.1275848881267237,0.1275848881267237
observed_overdraft_count_3mo,11,12,0.45161290322580644,0.5449640287769785,0.12678260498244154,0.12678260498244154
observed_overdraft_count_3mo,2,3,0.5550724637681159,0.46326836581709147,-0.124681546339941,0.124681546339941
geography_region,9,10,1.5730110775427997,1.4362694300518135,-0.12179355536456628,0.12179355536456628
prior_loans_count,2,3,0.3707052441229656,0.4481792717086835,0.11963259527626413,0.11963259527626413
observed_monthly_revenue_avg_3mo,7,8,241953.8075165703,259669.3341618425,0.11922277080561755,0.11922277080561755
observed_overdraft_count_3mo,8,9,0.42921013412816694,0.5168195718654435,0.11898466860252532,0.11898466860252532
existing_debt_obligations,4,5,7769.200127554425,8263.303469410313,0.11566493591397439,0.11566493591397439
observed_cash_balance_p10,2,3,-46.55505878475157,297.71394251140225,0.11415513643522246,0.11415513643522246
days_since_last_external_decline,11,12,69.33443914893245,80.02789477597929,0.1124800832397612,0.1124800832397612
prior_loans_amount_total,5,6,3534.238505297918,4261.91579667182,0.11107925388630539,0.11107925388630539
observed_overdraft_count_3mo,1,2,0.47619047619047616,0.5550724637681159,0.10713169029551353,0.10713169029551353
observed_revenue_volatility,11,12,1.229837751254711,1.3018239096918842,0.10511490436578923,0.10511490436578923
requested_amount,2,3,28902.376795205644,28320.354149450966,-0.10448950794509657,0.10448950794509657
observed_revenue_trend_3mo,4,5,-0.48137237194516824,-0.4377114696855656,0.1021854692071239,0.1021854692071239
payroll_regularity_score,7,8,0.5072119423652909,0.5270108961031713,0.10157384318518194,0.10157384318518194
observed_revenue_trend_3mo,12,13,-0.5087187504444548,-0.46536392420391437,0.101469118421816,0.101469118421816
observed_overdraft_count_3mo,7,8,0.5038051750380518,0.42921013412816694,-0.10130947591138346,0.10130947591138346
payroll_regularity_score,4,5,0.5240412906963292,0.504318757758061,-0.10118178437143525,0.10118178437143525
payroll_regularity_score,12,13,0.4966691443877188,0.5161482410714398,0.09993289232025264,0.09993289232025264
application_channel,3,4,0.6937441643323996,0.6210720887245841,-0.09975593440483299,0.09975593440483299
intended_use_of_funds,11,12,1.2026699029126213,1.0973952434881087,-0.09858975853347048,0.09858975853347048
prior_loans_default_count,7,8,0.054079696394686905,0.03345724907063197,-0.09841504791550147,0.09841504791550147
observed_monthly_revenue_avg_3mo,1,2,278513.76205960143,264396.9057452463,-0.09500427272430875,0.09500427272430875
observed_revenue_volatility,12,13,1.3018239096918842,1.2368467648987864,-0.09488027294649334,0.09488027294649334
application_channel,11,12,0.6310679611650486,0.6998867497168743,0.09446658154700739,0.09446658154700739
observed_cash_balance_p10,9,10,122.59269604259816,407.41390984225416,0.09444302100547164,0.09444302100547164
invoice_payment_delinquency_rate,5,6,0.24061432243153247,0.22656099926967171,-0.09310507363736735,0.09310507363736735
observed_cash_balance_p10,1,2,233.2632492283983,-46.55505878475157,-0.09278412232310122,0.09278412232310122
observed_monthly_revenue_avg_3mo,11,12,253427.84194538998,240044.62431639197,-0.09006699715865053,0.09006699715865053
stated_annual_revenue,4,5,3155360.690328084,2999495.2352488316,-0.08991113179668009,0.08991113179668009
prior_approved_amount,2,3,27180.073297642317,26683.311892721176,-0.08988238866693053,0.08988238866693053
prior_loans_count,5,6,0.38197424892703863,0.44015080113100846,0.08983413075673115,0.08983413075673115
payroll_regularity_score,1,2,0.5295777012618331,0.5121492195687842,-0.08941269775576932,0.08941269775576932
observed_revenue_trend_3mo,5,6,-0.4377114696855656,-0.47530200552743324,-0.08797817598704409,0.08797817598704409
requested_amount_to_observed_revenue,4,5,0.01123190297308647,0.01172665661534027,0.08732520104597401,0.08732520104597401
observed_overdraft_count_3mo,4,5,0.5257142857142857,0.46308724832214765,-0.08505541733993957,0.08505541733993957
observed_overdraft_count_3mo,3,4,0.46326836581709147,0.5257142857142857,0.08480943693336929,0.08480943693336929
