bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1319,0.001,0.0572289156626506,0.046274450341167554,0.04624715693707354,0.00954740550021178,2.7293404094012874e-05,0.009574698904305793
1,1490,0.06832298136645963,0.07534246575342465,0.07382550335570469,0.0738255033557047,0.011159192252131068,1.3877787807814457e-17,0.011159192252131082
2,376,0.08776595744680851,0.08776595744680851,0.08776595744680851,0.08776595744680851,0.024096872129859503,0.0,0.024096872129859503
3,1148,0.09494773519163763,0.09494773519163763,0.09494773519163763,0.09494773519163763,0.01424612962459791,0.0,0.01424612962459791
4,880,0.1,0.14594594594594595,0.13409090909090912,0.1340909090909091,0.018898236301511526,2.7755575615628914e-17,0.018898236301511554
5,1139,0.15167548500881833,0.1889763779527559,0.16769095697980688,0.16769095697980685,0.018203466122166584,2.7755575615628914e-17,0.01820346612216661
6,1091,0.2074074074074074,0.26540284360189575,0.23373052245646198,0.23373052245646195,0.021059015728632523,2.7755575615628914e-17,0.02105901572863255
7,1151,0.3031496062992126,0.34888059701492535,0.3266724587315378,0.3266724587315378,0.02271531470956573,0.0,0.02271531470956573
8,870,0.35294117647058826,0.48656716417910445,0.4344827586206895,0.43448275862068964,0.02760033469513615,1.1102230246251565e-16,0.02760033469513626
9,881,0.5,0.999,0.6775868331441544,0.677639046538025,0.02586663350652611,5.221339387062596e-05,0.025918846900396735
