bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1430,0.001,0.07218045112781955,0.06783426573426575,0.06783216783216783,0.010957754240685114,2.097902097916715e-06,0.010959852142783031
1,1638,0.07482993197278912,0.08275862068965519,0.08119658119658121,0.0811965811965812,0.011113026150405929,1.3877787807814457e-17,0.011113026150405943
2,280,0.09642857142857143,0.09642857142857143,0.09642857142857143,0.09642857142857143,0.02913362162845596,0.0,0.02913362162845596
3,859,0.09744779582366589,0.12021857923497267,0.10244470314318975,0.10244470314318975,0.017036953333103795,0.0,0.017036953333103795
4,1470,0.12323232323232323,0.1357254290171607,0.13129251700680272,0.13129251700680272,0.0144910894290275,0.0,0.0144910894290275
5,588,0.14388489208633093,0.16363636363636364,0.15816326530612246,0.15816326530612246,0.024744551463729357,0.0,0.024744551463729357
6,1496,0.1671018276762402,0.24119718309859156,0.21390374331550802,0.21390374331550802,0.01743038148023511,0.0,0.01743038148023511
7,563,0.25,0.3415841584158416,0.31616341030195383,0.31616341030195383,0.03216816496625102,0.0,0.03216816496625102
8,1122,0.3775933609958506,0.5430463576158939,0.43582887700534756,0.4358288770053476,0.024320920867985645,5.551115123125783e-17,0.0243209208679857
9,899,0.5454545454545454,0.999,0.6785038932146829,0.67853170189099,0.025588464146894432,2.7808676307139457e-05,0.025616272823201572
