cohort_week,n_labeled_approved,tail_residual,week13_residual,state,state_name
1,147,0.0016631107276060333,0.010804497219172815,1,middle_timing
2,166,0.007370741214827686,0.012045249027232169,2,high_timing
3,146,0.008211854082455098,0.01831510914687695,2,high_timing
4,173,-0.005011758892342615,-0.012948402953641067,0,low_timing
5,147,0.01756631283424941,0.032274379810274756,2,high_timing
6,149,-0.0006544780402724243,-0.01032539268643419,1,middle_timing
7,165,-0.010557753714302802,0.0017298524731855502,0,low_timing
8,161,0.0004756605852368201,0.009575159651475457,1,middle_timing
9,129,-0.010870527599949885,-0.006312446727128565,0,low_timing
10,160,0.0019508361302914372,0.010944148052138503,1,middle_timing
11,134,0.006896788538558875,0.014583504945718806,2,high_timing
12,121,0.013407328962814226,0.0064335080451684845,2,high_timing
13,120,-0.03151839041133139,-0.03420475538864523,0,low_timing
