profit_decile,approved,mean_pd,expected_npv_total,mean_expected_npv,mean_margin,prior_declined_approved
1,904,0.3320495015077216,38101.82148221575,42.14803261307053,0.001498572730815671,0
2,903,0.2334633201714715,912734.9482707168,1010.780673610982,0.03486826257639615,377
3,903,0.19816507548994278,1243742.729258917,1377.345215126154,0.04775548686267902,401
4,903,0.16593732303069064,1480170.2453385023,1639.1697069086404,0.05838502614827372,360
5,904,0.13688575357346283,1642238.2728977506,1816.6352576302552,0.06705475310889346,321
6,903,0.10668488260758884,1783271.1330852732,1974.829604745596,0.07384593067459773,319
7,903,0.08534193183123841,1900369.7152419295,2104.506882881428,0.07924000781785674,298
8,903,0.07691878972655213,1928536.8025100264,2135.699670553739,0.08435085230537859,237
9,903,0.06922188642073286,1967922.9007901528,2179.316612170712,0.09050039966828506,158
10,904,0.06529152194168598,1924830.778813683,2129.237587183278,0.09958844730821022,120
