feature,kind,comparison,psi,ks,std_mean_diff,train_missing,other_missing,total_variation
application_timestamp,categorical,train_vs_validation,16.831905078366727,,,0.0,0.0,1.0
application_timestamp,categorical,train_vs_test,16.827056769395462,,,0.0,0.0,1.0
observed_revenue_trend_3mo,numeric,train_vs_test,2.351708175707718,0.3841833343139762,-0.9227989045981665,0.3568432153737989,0.36735851196552116,
observed_revenue_trend_3mo,numeric,train_vs_validation,2.252301702292973,0.3783876134848281,-0.9014759418689333,0.3568432153737989,0.3657830251726442,
stated_annual_revenue,numeric,train_vs_validation,0.4266877331656308,0.25526961643551976,0.476461048482785,0.0,0.0,
observed_monthly_revenue_avg_3mo,numeric,train_vs_validation,0.4119567433397032,0.2514372009666327,0.47393045704452574,0.3568432153737989,0.3657830251726442,
stated_annual_revenue,numeric,train_vs_test,0.3991465182832803,0.24747557282694638,0.4522310100260753,0.0,0.0,
observed_monthly_revenue_avg_3mo,numeric,train_vs_test,0.38759489158581895,0.24075633197507268,0.443351121714426,0.3568432153737989,0.36735851196552116,
prior_approved_amount,numeric,train_vs_validation,0.35794738235089435,0.24280774440310215,0.5737466336723605,0.3939301617061167,0.43172198707952775,
requested_amount,numeric,train_vs_validation,0.35787371634098564,0.24327390815441724,0.5710239249142256,0.0,0.0,
prior_approved_amount,numeric,train_vs_test,0.34377856220258873,0.23742375442305286,0.5699132382459007,0.3939301617061167,0.4369967108993989,
requested_amount,numeric,train_vs_test,0.33620251941405993,0.23410703203238925,0.5591640757346003,0.0,0.0,
requested_amount_to_observed_revenue,numeric,train_vs_validation,0.18173889357695647,0.1744538364044118,-0.4268617543043955,0.0,0.0,
requested_amount_to_observed_revenue,numeric,train_vs_test,0.1642368305545117,0.15776468477775807,-0.3999125511849652,0.0,0.0,
existing_debt_obligations,numeric,train_vs_validation,0.0871119106523977,0.1197220134962097,-0.2872965716537439,0.0,0.0,
existing_debt_obligations,numeric,train_vs_test,0.07678886846816957,0.10945195726378021,-0.2740779686099822,0.0,0.0,
observed_revenue_volatility,numeric,train_vs_validation,0.03395808597923605,0.08259247634292399,0.16617619027503633,0.3568432153737989,0.3657830251726442,
observed_revenue_volatility,numeric,train_vs_test,0.030757886000347963,0.07592339900688294,0.161665786667696,0.3568432153737989,0.36735851196552116,
invoice_payment_delinquency_rate,numeric,train_vs_test,0.017015131360094166,0.05691473177535172,0.12246404237751922,0.0,0.0,
invoice_payment_delinquency_rate,numeric,train_vs_validation,0.01676957165271389,0.058954511256665065,0.1144359349479727,0.0,0.0,
observed_cash_balance_p10,numeric,train_vs_validation,0.013952042661518957,0.05091807583801722,-0.10130566592541729,0.3568432153737989,0.3657830251726442,
prior_underwriter_score,numeric,train_vs_test,0.013079436198558128,0.04917558913915021,-0.10800803436011983,0.0,0.0,
prior_underwriter_score,numeric,train_vs_validation,0.012285758942213669,0.04777625832549659,-0.09649716358918256,0.0,0.0,
observed_cash_balance_p10,numeric,train_vs_test,0.009061653666036684,0.040733403417457126,-0.08763073140117925,0.3568432153737989,0.36735851196552116,
payroll_regularity_score,numeric,train_vs_validation,0.006829532247472083,0.02701602549783788,0.03346269737489785,0.3568432153737989,0.3657830251726442,
days_since_last_external_decline,numeric,train_vs_validation,0.005845731405510545,0.018387733359911507,-0.03630138718482372,0.5019334426997891,0.4967698819336155,
observed_overdraft_count_3mo,numeric,train_vs_validation,0.005137893434443398,0.03449691885085049,0.06110180000618156,0.3568432153737989,0.3657830251726442,
days_since_last_inquiry_elsewhere,numeric,train_vs_validation,0.004404484821086644,0.02382611794376499,-0.02320017122912447,0.49923834075462853,0.488750278458454,
platform_active_months,numeric,train_vs_validation,0.0041535689502387564,0.019504308190168573,0.04456345251563111,0.0,0.0,
days_since_last_inquiry_elsewhere,numeric,train_vs_test,0.0034707342644169086,0.015080771559989159,-0.013546826728118806,0.49923834075462853,0.48973573777929,
prior_loans_amount_total,numeric,train_vs_validation,0.0032768960286756834,0.02494893775441387,0.04881259029444,0.0,0.0,
days_since_last_external_decline,numeric,train_vs_test,0.0032511392999614156,0.020482983201489224,-0.021710353779321404,0.5019334426997891,0.4904162413519338,
owner_personal_credit_band,numeric,train_vs_test,0.0030438355528224063,0.02112653536259601,0.04501562907265043,0.0,0.0,
vintage_years,numeric,train_vs_validation,0.002279313172231891,0.015560399368025224,0.023637440531269097,0.0,0.0,
repeat_application_count,numeric,train_vs_validation,0.002126565335301211,0.018721168423419532,0.045890665659190547,0.0,0.0,
stated_time_in_business,numeric,train_vs_test,0.0016756162035781858,0.017289488776807693,0.02141044172821707,0.0,0.0,
payroll_regularity_score,numeric,train_vs_test,0.0016742969400311957,0.01701045643220317,0.01972915296657066,0.3568432153737989,0.36735851196552116,
account_age_days,numeric,train_vs_validation,0.001627685000150582,0.013930469204648521,0.019890442158655302,0.0,0.0,
stated_time_in_business,numeric,train_vs_validation,0.0015656703978527099,0.018587701530961676,0.02891777195297557,0.0,0.0,
vintage_years,numeric,train_vs_test,0.0014716043488031793,0.01244268434604423,0.015482327940342143,0.0,0.0,
aggregate_credit_utilization,numeric,train_vs_validation,0.0012764917564103322,0.014668572705104299,-0.022838707889599966,0.0,0.0,
prior_loans_amount_total,numeric,train_vs_test,0.0011900688869389965,0.011345640129605594,0.012019013763696433,0.0,0.0,
account_age_days,numeric,train_vs_test,0.001176945423624381,0.01418758646338536,0.016233798137992826,0.0,0.0,
owner_personal_credit_band,numeric,train_vs_validation,0.0011307879292673834,0.02046750949108045,0.0407473868159265,0.0,0.0,
prior_loans_count,numeric,train_vs_validation,0.0010905979130121587,0.015545165400014604,0.03317487774400038,0.0,0.0,
