variant,threshold,validation_labeled_realized_npv,validation_labeled_approved,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total
direct_feature_revenue_trend_future_like,-0.015,2675692.9560011174,2050,0.6703051904655826,0.6641714869003063,8865,2888
direct_feature_revenue_trend_future_like_prior_floor_0p03,-0.015,2675692.9560011174,2050,0.6010247271107151,0.5951003742769649,7945,1968
blend_direct_feature_revenue_trend_future_like_alpha_0.7,-0.0019549419851390883,2668298.867989039,1989,0.6627311205168189,0.6626970624929114,8818,2991
blend_direct_feature_revenue_trend_future_like_alpha_0.7_prior_floor_0p03,-0.0019549419851390883,2668298.867989039,1989,0.6030296279795054,0.5994102302370421,7992,2165
blend_direct_feature_revenue_trend_future_like_alpha_0.5,0.00950897623856751,2657063.482113502,1938,0.6442414791713077,0.64432346603153,8573,2880
blend_direct_feature_revenue_trend_future_like_alpha_0.5_prior_floor_0p03,0.00950897623856751,2657063.482113502,1938,0.6008019603475161,0.6013383236928661,7999,2306
blend_direct_feature_revenue_trend_future_like_alpha_0.25_prior_floor_0p03,0.01496886270171715,2653551.9031061763,1938,0.6134996658498552,0.613700805262561,8165,2458
blend_direct_feature_revenue_trend_future_like_alpha_0.25,0.01496886270171715,2653551.9031061763,1938,0.6442414791713077,0.6465918112736758,8593,2886
active_pd_decomp_threshold,0.012499999999999997,2652215.1131467815,1975,0.6651815549120071,0.6664398321424521,8862,3034
active_pd_decomp_threshold_prior_floor_0p03,0.012499999999999997,2652215.1131467815,1975,0.6346625083537536,0.6363842576840195,8460,2632
blend_direct_feature_revenue_trend_future_like_alpha_0.85_prior_floor_0p03,-0.007937135498587442,2647118.2038167035,2015,0.6003564268211183,0.5955540433253941,7946,2064
blend_direct_feature_revenue_trend_future_like_alpha_0.85,-0.007937135498587442,2647118.2038167035,2015,0.6651815549120071,0.660201882726551,8807,2925
blend_direct_full_alpha_0.85,0.0050000000000000044,2646338.577211285,1913,0.6322120739585654,0.6301463082681185,8394,2777
blend_direct_full_alpha_0.85_prior_floor_0p03,0.0050000000000000044,2646338.577211285,1913,0.5765203831588327,0.574571849835545,7654,2037
direct_full_prior_floor_0p03,0.004952840544359244,2644917.7872554134,1887,0.5624860770773,0.5623227855279573,7483,1933
direct_full,0.004952840544359244,2644917.7872554134,1887,0.6197371352194253,0.6193716683679256,8243,2693
blend_direct_late_2025_regime_only_alpha_0.7_prior_floor_0p03,0.007500000000000007,2642784.303142519,1907,0.582089552238806,0.5870477486673472,7789,2182
blend_direct_late_2025_regime_only_alpha_0.7,0.007500000000000007,2642784.303142519,1907,0.6313210069057696,0.6335488261313372,8420,2813
blend_direct_recency_weight_180d_alpha_0.25_prior_floor_0p03,0.006104420048294847,2641016.749135446,1989,0.6250835375361996,0.6274242939775434,8338,2472
blend_direct_recency_weight_180d_alpha_0.25,0.006104420048294847,2641016.749135446,1989,0.6685230563599911,0.6715436089372803,8922,3056
blend_direct_late_2025_regime_only_alpha_0.25,0.012499999999999997,2640516.4673144496,1942,0.6475829806192916,0.6506748327095384,8644,2919
blend_direct_late_2025_regime_only_alpha_0.25_prior_floor_0p03,0.012499999999999997,2640516.4673144496,1942,0.613945199376253,0.6147215606215266,8176,2451
blend_direct_late_2025_regime_only_alpha_0.5,0.01113508786653898,2637834.7761586574,1913,0.63332590777456,0.6355903368492685,8447,2821
blend_direct_late_2025_regime_only_alpha_0.5_prior_floor_0p03,0.01113508786653898,2637834.7761586574,1913,0.5943417242147472,0.5979358058296472,7940,2314
blend_direct_full_alpha_0.5,0.007500000000000007,2631845.021799204,1948,0.6482512809088884,0.6504479981853238,8645,2906
blend_direct_full_alpha_0.5_prior_floor_0p03,0.007500000000000007,2631845.021799204,1948,0.6019157941635108,0.6041737552455484,8029,2290
blend_direct_full_alpha_0.25,0.010034194291384878,2628228.979550712,1964,0.6576074849632435,0.6578201202222979,8752,2965
