buffer_rate,approved_count_labeled_validation,approval_rate_labeled_validation,approval_rate_all_validation,mean_pd_approved,observed_default_rate_approved,expected_profit_total,realized_profit_proxy_total
0.005,2015,0.7898863190905527,0.6732011583871687,0.14958675916474645,0.1349875930521092,4952135.460272918,3789087.6615743465
0.0075,2000,0.7840062720501764,0.6658498552016039,0.14770197185485023,0.1345,4946005.1832530275,3774684.426799793
0.0025,2028,0.7949823598588789,0.6794386277567387,0.15121795762332646,0.13658777120315582,4955224.715619575,3758372.9520621216
0.0,2048,0.8028224225793806,0.6872354644687013,0.1532233965016699,0.13671875,4956517.912670693,3749337.6652199132
-0.01,2112,0.8279106232849863,0.7188683448429495,0.16185833353903234,0.1425189393939394,4936759.329698109,3740325.2198976665
0.015,1927,0.755390043120345,0.63332590777456,0.13964600275876685,0.12817851582771148,4898120.302271213,3699433.6972991424
0.01,1974,0.7738141905135241,0.6551570505680553,0.14501250150404843,0.1337386018237082,4933395.154592022,3697771.387472624
-0.02,2157,0.8455507644061152,0.7415905546892404,0.16831203668490208,0.14696337505795085,4889171.511353853,3689786.872014033
0.02,1882,0.737749901999216,0.6103809311650702,0.13388039648856653,0.12539851222104145,4844915.137927252,3643352.724517202
0.03,1781,0.6981575852606821,0.5707284473156605,0.12428782615974204,0.11903425042111174,4716082.816094087,3595755.968528441
0.04,1680,0.6585652685221481,0.5279572287814658,0.11494128125236043,0.11488095238095238,4517917.449199492,3527040.6502241595
0.05,1556,0.6099568796550372,0.4827355758520829,0.10606963400762708,0.10796915167095116,4253598.92397343,3307323.8856919184
