bin,n,p_min,p_max,conformal_width,p_min_chain,p_max_chain
0,1035,0.004378023897360848,0.04741715265821461,0.04475131808950264,0.004378023897360848,0.04741715265821461
1,1034,0.04743541320673727,0.06598664037658174,0.06523443570760037,0.04743541320673727,0.06598664037658174
2,1035,0.06599746755941839,0.08500547936777894,0.08456762453575352,0.06599746755941839,0.08500547936777894
3,1034,0.08504446380091892,0.10981143545039891,0.8921656614259881,0.08504446380091892,0.10981143545039891
4,1035,0.1098359892230867,0.1440561290823973,0.8666324042254451,0.1098359892230867,0.1440561290823973
5,1034,0.14408331108243305,0.19583383663051399,0.823889461947076,0.14408331108243305,0.19583383663051399
6,1034,0.19584685301638918,0.2617883670057017,0.7789689941937293,0.19584685301638918,0.2617883670057017
7,1035,0.2618000455054492,0.34765369148549646,0.7092723564657655,0.2618000455054492,0.34765369148549646
8,1034,0.3476568935045819,0.47612144308649024,0.6187344368824854,0.3476568935045819,0.47612144308649024
9,1035,0.4762535776899983,0.999,0.6279487129228252,0.4762535776899983,0.999
