bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1035,0.0055392720306513404,0.05233872558209848,0.03480696529044694,0.025120772946859903,0.008086002135182712,0.009686192343587037,0.01777219447876975
1,1050,0.05241116907025907,0.07072646597298075,0.06335421435369146,0.05619047619047619,0.01173033084579528,0.007163738163215264,0.018894069009010542
2,1019,0.07072995162388576,0.09049950611035644,0.08052372547265342,0.08145240431795878,0.014119177249150237,0.0009286788453053557,0.015047856094455593
3,1035,0.09052371238140333,0.11536147600523794,0.10291877393100385,0.10241545893719807,0.015516079286491586,0.0005033149938057785,0.016019394280297364
4,1036,0.11536938789463325,0.14872860340889443,0.13074319286827893,0.12451737451737452,0.016879129810142866,0.006225818350904411,0.023104948161047276
5,1033,0.14880576930257675,0.19876383244977733,0.17333451319050197,0.16844143272023232,0.01914805786426193,0.004893080470269651,0.02404113833453158
6,1038,0.19882163463696692,0.2615255442247204,0.22795318703806916,0.2302504816955684,0.021476818812620722,0.002297294657499227,0.02377411347011995
7,1030,0.2616372723704002,0.3420759369837058,0.3009918466828305,0.29514563106796116,0.023351867021003586,0.005846215614869366,0.02919808263587295
8,1034,0.34227866796738166,0.4617728880025691,0.40113083449349085,0.41876208897485495,0.025204353195664643,0.0176312544813641,0.04283560767702874
9,1035,0.4618789071910476,0.999,0.6386335415897221,0.6521739130434783,0.024322642844148496,0.013540371453756195,0.03786301429790469
