cohort_week,approved_count,mean_cdr_week13,rows,approval_rate,mean_pd,mean_pd_approved,mean_prior_underwriter_score
1,598,0.11288125034819219,1127,0.5306122448979592,0.27760567714421247,0.11266774390133447,0.45023802305653343
2,635,0.12030383955348174,1106,0.5741410488245932,0.2679680976653614,0.12033655597692242,0.4716793765675914
3,628,0.11608545106430021,1071,0.5863678804855276,0.26285647232609044,0.11598418857879249,0.4499539972772128
4,640,0.11788468830775894,1082,0.5914972273567468,0.26521842080445046,0.11784155065771258,0.4679283400245782
5,650,0.12116745174077109,1165,0.5579399141630901,0.2823815238453063,0.12122598585251054,0.4501395495137501
6,614,0.11631567531298244,1061,0.5786993402450519,0.26458836614916414,0.11621960307206192,0.45248162023416927
7,595,0.12465173867699163,1054,0.5645161290322581,0.2765943007958688,0.12483280239355467,0.45855145665584346
8,609,0.1221381450791686,1076,0.5659851301115242,0.2749706312303561,0.12223249818162925,0.4748404875597095
9,555,0.11809144500586786,993,0.5589123867069486,0.2778457184238331,0.118049151380521,0.4697141538005003
10,570,0.12091795749675993,965,0.5906735751295337,0.2640069942117872,0.1209759527384273,0.45996140678291964
11,472,0.11969482516139403,824,0.5728155339805825,0.27900024898180453,0.11971303414665474,0.4747532450170618
12,483,0.12248366549630126,883,0.5469988674971688,0.28553053036261417,0.12261693971522726,0.45922410879705233
13,522,0.11849205361915946,899,0.5806451612903226,0.2720286290944684,0.11846243524789203,0.4648366545121367
