bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1039,0.011237577639751552,0.04958695217555851,0.0386843088839238,0.028873917228103944,0.008621135992281865,0.009810391655819858,0.01843152764810172
1,1036,0.04958747771162936,0.06641971102537801,0.05790684993872254,0.05501930501930502,0.011694819165503871,0.00288754491941752,0.014582364084921392
2,1031,0.06642842916643336,0.08753381866521057,0.07726774176258767,0.07759456838021339,0.01373148948892152,0.00032682661762571674,0.014058316106547238
3,1032,0.08754673864898575,0.11136849104024926,0.09873240294964196,0.10077519379844961,0.0154285876244013,0.002042790848807652,0.017471378473208954
4,1035,0.11143699280540208,0.14676005866696662,0.12919468956660946,0.13140096618357489,0.017277147505899787,0.00220627661696543,0.019483424122865217
5,1034,0.1468148296361212,0.19639017058392313,0.17032558283192484,0.1644100580270793,0.01895502719072682,0.005915524804845529,0.024870551995572348
6,1037,0.19649611158033822,0.26577062740065344,0.22962537687297355,0.22854387656702024,0.021431300438443567,0.0010815003059533035,0.02251280074439687
7,1032,0.26578596418056394,0.3305690852938915,0.2962863239549559,0.2877906976744186,0.02315718572566693,0.008495626280537294,0.03165281200620422
8,1034,0.3306274699935972,0.4831257704153906,0.4003522447192821,0.41876208897485495,0.025204353195664643,0.01840984425557285,0.04361419745123749
9,1035,0.48312731892731864,0.999,0.6556214931436246,0.6608695652173913,0.024176688286584484,0.005248072073766652,0.029424760360351136
