feature,segment,kind,labeled_n,active_approved_n,active_approved_realized_npv,reject_segment_validation_delta,active_declined_prior_approved_n,active_declined_prior_approved_realized_npv,approve_segment_validation_delta,actual_default_rate,approved_default_rate,mean_predicted_pd,calibration_error_actual_minus_pred,mean_margin_all_validation,prior_declined_share_all,all_validation_n,test_n,test_active_approved_n,auc_in_segment
sector,sector==0,cat,718,538,695851.0041972598,-695851.0041972598,180,-642845.4460408797,-642845.4460408797,0.20334261838440112,0.11152416356877323,0.2259876598425386,-0.022645041458137477,-0.00598577538539623,0.44555984555984557,1295,2658,1501,0.7837496407701887
sector,sector==1,cat,625,468,606718.7741269628,-606718.7741269628,157,-889298.0693874937,-889298.0693874937,0.2432,0.1346153846153846,0.22639044703588115,0.016809552964118846,-0.005048101767778536,0.46120689655172414,1160,2193,1256,0.7538458328697007
sector,sector==2,cat,511,376,482743.29778681445,-482743.29778681445,135,-334765.24704305077,-334765.24704305077,0.2172211350293542,0.14627659574468085,0.2206039413100714,-0.0033828062807172155,0.0041529275830211616,0.44516829533116176,921,1755,977,0.6931756756756757
sector,sector==3,cat,460,409,641488.9717749698,-641488.9717749698,51,-165814.35034890642,-165814.35034890642,0.14347826086956522,0.10757946210268948,0.15151589422922104,-0.008037633359655821,0.04568420655223914,0.3313953488372093,688,1267,981,0.7350984463928626
sector,sector==4,cat,237,184,225413.0652607747,-225413.0652607747,53,-63873.156801311816,-63873.156801311816,0.21518987341772153,0.19021739130434784,0.21186756867010514,0.0033223047476163836,0.0032195473429799974,0.4423529411764706,425,944,570,0.6530149694286317
geography_region,geography_region==1,cat,673,511,584014.322336419,-584014.322336419,162,-473582.02185690217,-473582.02185690217,0.2213967310549777,0.15264187866927592,0.21144319752955748,0.009953533525420222,0.004166524789195456,0.4163052905464007,1153,2151,1325,0.7094817869767919
geography_region,geography_region==3,cat,625,485,746038.994573382,-746038.994573382,140,-603407.5704613348,-603407.5704613348,0.1952,0.11134020618556702,0.20529843621803925,-0.010098436218039242,0.0073310927497362436,0.44395017793594305,1124,2283,1351,0.7531532118762831
geography_region,geography_region==2,cat,619,481,625453.5761081774,-625453.5761081774,138,-518895.31623567734,-518895.31623567734,0.22294022617124395,0.14345114345114346,0.21374141011920977,0.009198816052034181,0.0011855992606534796,0.44682752457551383,1119,2160,1308,0.7500376630811415
geography_region,geography_region==0,cat,634,498,696708.220128803,-696708.220128803,136,-500711.3610677278,-500711.3610677278,0.18454258675078863,0.11244979919678715,0.2105252063984447,-0.025982619647656052,0.007910040212846442,0.41994510521500455,1093,2223,1301,0.7513018895997619
vintage_years,"vintage_years_q1[0.04851,2.449]",num,413,284,397315.5693615783,-397315.5693615783,129,-700894.2712363784,-700894.2712363784,0.26150121065375304,0.14084507042253522,0.24829142959864375,0.013209781055109282,-0.02824781205170755,0.5406006674082313,899,1737,818,0.76775956284153
vintage_years,"vintage_years_q2[2.449,4.18]",num,450,323,356544.2556234348,-356544.2556234348,127,-427098.7905751242,-427098.7905751242,0.2511111111111111,0.15479876160990713,0.23892716494164754,0.012183946169463583,-0.01345087917220465,0.4983277591973244,897,1777,936,0.7405399017882934
vintage_years,"vintage_years_q3[4.18,6.112]",num,494,370,461470.24742688664,-461470.24742688664,124,-377814.6194297688,-377814.6194297688,0.2125506072874494,0.13513513513513514,0.22534395245842517,-0.012793345170975773,0.003008630299583221,0.4492753623188406,897,1775,1014,0.7508875015301749
vintage_years,"vintage_years_q4[6.112,9.084]",num,540,433,698596.482652866,-698596.482652866,107,-377167.78275898274,-377167.78275898274,0.1648148148148148,0.09237875288683603,0.19645974889068551,-0.03164493407587071,0.02065024314760039,0.3986636971046771,898,1726,1137,0.7714816014350132
