policy,approved_total,approved_delta_vs_active,prior_declined_approved,prior_declined_delta_vs_active,headline_expected_npv,headline_delta_vs_active,prior_declined_expected_npv,mean_pd_prior_declined_approved,mean_margin_prior_declined_approved,labeled_validation_npv,labeled_validation_approved,headline_npv_gamma3,prior_declined_npv_gamma3,headline_npv_gamma6,prior_declined_npv_gamma6,headline_npv_gamma10,prior_declined_npv_gamma10
prior_declined_gamma6_stress_margin_gt_0.00,7932,-1101,1490,-1101,13342241.42653829,-1479677.9211508762,3062324.1235386347,0.1004888707049293,0.07853503457019408,3912480.142639173,2196,12817147.119592972,2537229.8165933173,12321785.376974022,2041868.0739743668,11916656.584206715,1636739.281207061
prior_declined_gamma4_stress_margin_gt_0.02,7892,-1141,1450,-1141,13272917.313108735,-1549002.0345804319,2993000.01010908,0.09730758429791359,0.07908862501740138,3912480.142639173,2196,12785377.530824998,2505460.2278253427,12317790.655979063,2037873.352979408,11930917.301478857,1650999.998479201
prior_declined_gamma4_stress_margin_gt_0.01,8051,-982,1609,-982,13545609.72571623,-1276309.6219729371,3265692.4227165743,0.10309224629783359,0.07728693597845163,3912480.142639173,2196,12904594.893716872,2624677.590717216,12305551.551342197,2025634.2483425422,11820492.860437173,1540575.557437518
blanket_prior_margin_0.06,8011,-1022,1569,-1022,13476028.953095153,-1345890.3945940137,3196111.650095499,0.09972944818600436,0.0778080173700466,3912480.142639173,2196,12874272.4315309,2594355.1285312455,12302424.535049211,2022507.2320495558,11834074.395197479,1554157.0921978229
prior_declined_gamma6_stress_margin_gt_0.01,7793,-1240,1351,-1240,13100282.008019617,-1721637.3396695498,2820364.705019961,0.09576895564830552,0.08005620202591547,3912480.142639173,2196,12693631.286646258,2413713.9836466014,12302384.74063877,2022467.4376391142,11977434.945921278,1697517.642921622
prior_declined_gamma3_stress_margin_gt_0.02,8099,-934,1657,-934,13623057.04553044,-1198862.3021587264,3343139.742530784,0.10431687093487603,0.07676035667824879,3912480.142639173,2196,12932735.557626825,2652818.25462717,12290647.598638795,2010730.295639141,11773139.352612816,1493222.0496131587
prior_declined_gamma6_stress_margin_gt_0.02,7636,-1397,1194,-1397,12805878.081471791,-2016041.2662173752,2525960.778472136,0.09047871161025854,0.0817410613429631,3912480.142639173,2196,12518908.63120691,2238991.3282072535,12236226.744881555,1956309.4418819,11997160.620275717,1717243.3172760615
prior_declined_gamma4_stress_margin_gt_0.00,8240,-793,1798,-793,13847399.60962317,-974519.7380659971,3567482.3066235133,0.11062979944557137,0.07506049494820236,3912480.142639173,2196,12999945.928828843,2720028.6258291863,12233273.957095552,1953356.6540958963,11628255.698020393,1348338.395020737
prior_declined_gamma3_stress_margin_gt_0.01,8286,-747,1844,-747,13916725.569537226,-905193.7781519406,3636808.266537571,0.11182656322048369,0.07454926297038156,3912480.142639173,2196,13015760.846514998,2735843.543515342,12204070.305254791,1924153.0022551352,11566104.489652254,1286187.186652598
blanket_prior_margin_0.05,8375,-658,1933,-658,14050828.13639877,-771091.2112903967,3770910.833399114,0.11322317391826854,0.07351959847363028,3912480.142639173,2196,13029102.787410736,2749185.4844110804,12114010.734762564,1834093.431762909,11400072.269617613,1120154.9666179577
prior_declined_gamma3_stress_margin_gt_0.00,8478,-555,2036,-555,14194325.988794703,-627593.3588944636,3914408.6857950464,0.11881796356291391,0.07220247595806095,3912480.142639173,2196,13042137.319933102,2762220.0169334468,12032541.972946772,1752624.6699471162,11256558.074875811,976640.7718761567
prior_declined_gamma2_stress_margin_gt_0.02,8474,-559,2032,-559,14189450.999089528,-632468.3485996388,3909533.696089872,0.11788811121176075,0.07228900914769892,3912480.142639173,2196,13041128.137938151,2761210.8349384964,12030938.83371569,1751021.530716033,11252979.908948556,973062.6059488999
prior_declined_gamma2_stress_margin_gt_0.01,8706,-327,2264,-327,14483440.294053597,-338479.0536355693,4203522.991053943,0.12686122905446912,0.0693753465480638,3912480.142639173,2196,13004808.596279737,2724891.2932800804,11747040.0152545,1467122.7122548427,10802914.900535613,522997.59753595863
blanket_prior_margin_0.04,8717,-316,2275,-316,14496302.930786414,-325616.4169027526,4216385.62778676,0.12666890084026022,0.06924852051893332,3912480.142639173,2196,12997661.162636451,2717743.859636795,11722054.587393362,1442137.2843937078,10764849.972549567,484932.6695499114
prior_declined_gamma2_stress_margin_gt_0.00,8932,-101,2490,-101,14727244.810207454,-94674.53748171218,4447327.5072078,0.13591621945665397,0.06643843353901734,3912480.142639173,2196,12893240.421265183,2613323.118265529,11381409.883311104,1101492.5803114497,10272411.896970466,-7505.406029190155
prior_declined_pd_upper90_margin_gt_0.01,9013,-20,2571,-20,14804316.356938591,-17602.990750575438,4524399.053938936,0.13868217257630014,0.06537616527335648,3912480.142639173,2196,12831869.261981023,2551951.9589813687,11221467.18943951,941549.8864398564,10048923.416098902,-230993.88690075366
active_current,9033,0,2591,0,14821919.347689167,0.0,4542002.044689512,0.1391659131135634,0.0651129785381828,3912480.142639173,2196,12813310.475567928,2533393.172568272,11175825.82805,895908.525050345,9985197.860497838,-294719.4425018166
prior_declined_pd_upper90_margin_gt_-0.02,9033,0,2591,0,14821919.347689167,0.0,4542002.044689512,0.1391659131135634,0.0651129785381828,3912480.142639173,2196,12813310.475567928,2533393.172568272,11175825.82805,895908.525050345,9985197.860497838,-294719.4425018166
prior_declined_pd_upper90_margin_gt_0.00,9033,0,2591,0,14821919.347689167,0.0,4542002.044689512,0.1391659131135634,0.0651129785381828,3912480.142639173,2196,12813310.475567928,2533393.172568272,11175825.82805,895908.525050345,9985197.860497838,-294719.4425018166
