feature_name,query_count,applicant_count,present_in_raw_data,present_in_engineered_frame,included_in_segment_report
account_age_days,20,20,True,True,True
aggregate_credit_utilization,47,44,True,True,True
application_channel,45,45,True,True,True
bookkeeping_recency_days,11,11,True,True,True
days_since_last_external_decline,9,9,True,True,True
days_since_last_inquiry_elsewhere,16,16,True,True,True
employee_count_bucket,14,14,True,True,True
existing_debt_obligations,52,48,True,True,True
geography_region,11,11,True,True,True
has_linked_bank_feed,9,9,True,True,True
intended_use_of_funds,12,12,True,True,True
invoice_payment_delinquency_rate,50,47,True,True,True
multi_lender_inquiry_count_30d,34,34,True,True,True
observed_cash_balance_p10,51,49,True,True,True
observed_monthly_revenue_avg_3mo,42,40,True,True,True
observed_overdraft_count_3mo,47,44,True,True,True
observed_revenue_trend_3mo,53,50,True,True,True
observed_revenue_volatility,52,49,True,True,True
owner_personal_credit_band,45,43,True,True,True
payroll_regularity_score,15,15,True,True,True
platform_active_months,19,19,True,True,True
prior_loans_amount_total,9,9,True,True,True
prior_loans_count,7,6,True,True,True
prior_loans_default_count,13,13,True,True,True
recent_inquiries_count_6mo,49,46,True,True,True
requested_amount,40,40,True,True,True
sector,12,12,True,True,True
stated_annual_revenue,36,36,True,True,True
stated_time_in_business,68,66,True,True,True
vintage_years,12,12,True,True,True
