feature_a,feature_b,abs_corr
stated_time_in_business,vintage_years,0.9950503819688423
bank_feed_support_index,revenue_scale_index,0.9896765823936907
log_requested_amount,requested_amount,0.9871229769241954
debt_to_requested_amount,repayment_burden_index,0.9785608731972547
application_month,application_weekofyear,0.9740570063153687
invoice_payment_delinquency_rate,utilization_x_delinquency,0.9552989486095155
cash_balance_to_requested_amount,observed_cash_balance_p10,0.9489044601543146
prior_loans_amount_total,prior_loans_count,0.9403846540377387
existing_debt_obligations,log_existing_debt,0.9366377013976092
maturity_index,vintage_years,0.9326848675186866
maturity_index,stated_time_in_business,0.932420059623094
requested_amount_to_observed_revenue,requested_to_stated_annual_revenue,0.9267299963329855
cash_stress_index,signed_log_cash_balance_p10,0.9258008216548893
cash_x_payroll_regularity,signed_log_cash_balance_p10,0.9236513720943321
debt_to_stated_annual_revenue,repayment_burden_index,0.9156213115804344
cash_stress_index,credit_x_cash_stress,0.9138176316861337
requested_amount_to_observed_revenue,utilization_x_repayment_burden,0.9106766158182107
log_stated_annual_revenue,stated_annual_revenue,0.9091742235747763
account_age_days,log_account_age_days,0.9079595596102108
log_observed_monthly_revenue,observed_monthly_revenue_avg_3mo,0.9028771486224286
cash_stress_index,cash_x_payroll_regularity,0.8982238143309406
log_account_age_days,maturity_index,0.8868519007906539
account_age_days,maturity_index,0.885132465041557
debt_to_requested_amount,existing_debt_obligations,0.874184181101704
account_age_days,vintage_years,0.8732812017185128
account_age_days,stated_time_in_business,0.8690193042977125
debt_to_requested_amount,debt_to_stated_annual_revenue,0.8689022963201569
log_stated_annual_revenue,requested_to_stated_annual_revenue,0.8636104045150734
existing_debt_obligations,repayment_burden_index,0.862427897333415
cash_stress_index,observed_cash_balance_p10,0.8621574867033467
cash_balance_to_observed_monthly_revenue,cash_balance_to_requested_amount,0.858562827817963
aggregate_credit_utilization,credit_stress_index,0.8582749027694436
cash_balance_to_observed_monthly_revenue,observed_cash_balance_p10,0.838705735030838
log_observed_monthly_revenue,requested_to_observed_annual_revenue,0.8375731550636542
bank_feed_x_repayment_burden,bank_feed_x_utilization,0.8322905837492995
maturity_x_repayment_burden,repayment_burden_index,0.8242550005221447
cash_x_payroll_regularity,observed_cash_balance_p10,0.819571100561294
