component,explained_variance_ratio,cumulative_explained_variance
PC1,0.23649858512636088,0.23649858512636088
PC2,0.15302005038656338,0.38951863551292426
PC3,0.08535493602973976,0.474873571542664
PC4,0.06402374382612826,0.5388973153687923
PC5,0.04183071549964491,0.5807280308684372
PC6,0.0387775911750638,0.6195056220435009
PC7,0.03788264654445839,0.6573882685879593
PC8,0.027772777697006625,0.6851610462849659
PC9,0.024073815594207387,0.7092348618791733
PC10,0.023516177731591273,0.7327510396107646
PC11,0.019875152529278507,0.7526261921400431
PC12,0.019163552434603735,0.7717897445746469
