bin,n,p_min,p_max,mean_predicted_pd,observed_default_rate,wilson_half_width,miscalibration,bin_width
0,1551,0.001,0.06055363321799308,0.051605415860735006,0.05157962604771115,0.00926256319051706,2.5789813023854857e-05,0.009288353003540915
1,701,0.06276747503566334,0.06276747503566334,0.06276747503566335,0.06276747503566334,0.015132791048550889,1.3877787807814457e-17,0.015132791048550902
2,1592,0.06716417910447761,0.08946488294314381,0.08417085427135679,0.08417085427135679,0.011457765203314263,0.0,0.011457765203314263
3,389,0.12082262210796915,0.12082262210796915,0.12082262210796915,0.12082262210796915,0.027213249878773584,0.0,0.027213249878773584
4,1191,0.12762384550797648,0.12762384550797648,0.12762384550797648,0.12762384550797648,0.01590774295770631,0.0,0.01590774295770631
5,845,0.1282051282051282,0.18625277161862527,0.17041420118343195,0.17041420118343195,0.021267681934389875,0.0,0.021267681934389875
6,1062,0.2032520325203252,0.25149700598802394,0.2363465160075329,0.23634651600753295,0.02142632493627164,5.551115123125783e-17,0.021426324936271696
7,1241,0.27469135802469136,0.3279411764705883,0.31103948428686545,0.31103948428686545,0.021594944614979947,0.0,0.021594944614979947
8,769,0.3333333333333333,0.4834834834834833,0.4278283485045513,0.42782834850455137,0.029296490136851143,5.551115123125783e-17,0.0292964901368512
9,1004,0.4888888888888889,0.999,0.6583416334661355,0.6583665338645418,0.024589809690805403,2.4900398406302315e-05,0.024614710089211705
