feature_set,C,class_weight,auroc,average_precision,log_loss,brier
baseline_no_prior_score,0.06,None,0.7575036379852602,0.5152180767493676,0.4303022952185341,0.13534099391863255
baseline_no_prior_score,0.03,None,0.7574247758531663,0.5152023485264674,0.4303125899540655,0.1353475511600534
baseline_no_prior_score,0.1,None,0.7574144486692015,0.5147234548297464,0.4304021288318157,0.13541252576594798
baseline_no_prior_score,0.2,None,0.7573215040135193,0.5144964675542719,0.4304642455269781,0.13542964292851362
baseline_no_prior_score,0.03,balanced,0.7573092991597428,0.5123142001825919,0.6832137766188048,0.24130108638753295
baseline_no_prior_score,2.0,None,0.7573008496455899,0.5143812370769473,0.4305038350287075,0.13544818314313767
baseline_no_prior_score,0.35,None,0.757298971975778,0.5144368329688951,0.4304832901299781,0.13543853304105952
baseline_no_prior_score,0.06,balanced,0.757298971975778,0.5121295942152734,0.6838328553676565,0.2415207268713521
baseline_no_prior_score,4.0,None,0.7572952166361546,0.5143561553620887,0.4305059887556614,0.13544920001924954
baseline_no_prior_score,1.0,None,0.7572942778012486,0.5143800329141273,0.43049951378969387,0.1354461463496344
baseline_no_prior_score,0.6,None,0.7572905224616251,0.5143563103620462,0.43049372161162247,0.13544342273158422
baseline_no_prior_score,0.1,balanced,0.7572801952776604,0.5120877935727762,0.6841181040965311,0.2416231936682855
baseline_no_prior_score,0.2,balanced,0.757275501103131,0.5119588063650431,0.6843078296165674,0.2416898775366489
baseline_no_prior_score,0.35,balanced,0.7572510913955781,0.5118581802019474,0.6853020339556899,0.24210030725954199
baseline_no_prior_score,4.0,balanced,0.757220109843684,0.5116975667974143,0.685947107144257,0.24236032610291613
baseline_no_prior_score,2.0,balanced,0.7572182321738721,0.5116992218540731,0.6859089697904163,0.24234517650910997
baseline_no_prior_score,0.6,balanced,0.7571900671266958,0.5120013274214841,0.6854735821073848,0.2421850510580383
baseline_no_prior_score,1.0,balanced,0.7571393700417781,0.5119228290691918,0.6856006932207678,0.2422348495298216
all_engineered,0.2,balanced,0.7567394263718725,0.5167973496926266,0.680719652976073,0.2400531576033986
all_engineered,4.0,balanced,0.7567309768577196,0.5169970159362041,0.6808845702563795,0.2401286411446928
all_engineered,0.03,balanced,0.7567244050133783,0.5166949188233289,0.6807534380747066,0.24005055638139972
all_engineered,0.06,balanced,0.7567234661784725,0.5167937239364,0.6810276016422843,0.24018246461037818
all_engineered,0.6,balanced,0.7567178331690372,0.5167604605180313,0.6807907952465073,0.24009159623602075
all_engineered,0.35,balanced,0.7567084448199785,0.5169910249500785,0.68043364453837,0.23993638540484358
all_engineered,0.1,balanced,0.756703750645449,0.5168318196244719,0.6807315554307776,0.2400603343549959
all_engineered,1.0,balanced,0.7566953011312961,0.5165602189748155,0.6806548327163062,0.24003685582098266
all_engineered,2.0,balanced,0.7566896681218608,0.5165911920658087,0.6809079196076432,0.2401368045159152
baseline,0.03,balanced,0.7565694972539079,0.511596795389242,0.682929842975847,0.24120975118638555
baseline,1.0,balanced,0.7565516593906962,0.5109587448214057,0.6841613706993235,0.24164238562231286
baseline,2.0,balanced,0.7565488428859785,0.510932126100225,0.6841815583256868,0.2416493902943795
baseline,0.6,balanced,0.7565460263812609,0.5109227526642661,0.6841346456193746,0.24163311624127198
baseline,4.0,balanced,0.7565450875463549,0.5108382011819101,0.684191698683706,0.24165290964800645
baseline,0.35,balanced,0.7565432098765432,0.510960843375106,0.6840874550081569,0.24161675874370847
baseline,0.2,balanced,0.7565403933718255,0.5109935953518605,0.6840041192525633,0.24158790052170803
baseline,0.06,balanced,0.756536638032202,0.51134822793375,0.6835106668150428,0.24141779582101983
baseline,0.1,balanced,0.7565197390038962,0.5111812596003992,0.6838160775663894,0.2415228315996362
baseline,0.06,None,0.7564859409472844,0.5136429673115006,0.43084204314162133,0.1355598138284632
baseline,4.0,None,0.7563451157114022,0.512694672260287,0.4309829697340259,0.1356422494992375
baseline,0.35,None,0.7563422992066845,0.512766110486874,0.4310525858170961,0.13566809544900107
baseline,0.2,None,0.7563394827019668,0.5129057295558389,0.43106964303694095,0.13567222353150607
baseline,2.0,None,0.7563376050321551,0.5128114760198912,0.4309837380314012,0.1356414720834654
baseline,1.0,None,0.7563366661972492,0.5128156160565688,0.430981307479172,0.13564009077812203
baseline,0.6,None,0.7563338496925316,0.5128178170657678,0.43098101683793283,0.13563951123142207
baseline,0.03,None,0.7563329108576257,0.513566280165947,0.43081347082299404,0.13554173726790153
baseline,0.1,None,0.756330094352908,0.5126951615851818,0.4309234065441491,0.13561213886041779
all_engineered,0.06,None,0.756322583673661,0.5161729571903724,0.43040582790439935,0.13512517704740296
all_engineered,0.03,None,0.7562878467821434,0.5167843043433096,0.4302901544827211,0.1350745009005546
all_engineered,0.1,None,0.7562765807632728,0.5165992919892455,0.4303244527498969,0.13506899339218054
all_engineered,0.2,None,0.7561939632915552,0.5164118403511363,0.43043038906864967,0.13512728847438107
all_engineered,0.6,None,0.7561573487302259,0.5165133012241447,0.43050390642511205,0.13516119887459319
all_engineered,0.35,None,0.7561442050415434,0.5165012266908955,0.4304817608352927,0.13514847244367797
all_engineered,1.0,None,0.7561385720321082,0.5165592490138363,0.4304891680844013,0.13515339258102335
all_engineered,4.0,None,0.7560935079566258,0.5163291233406468,0.4305203505181529,0.1351620712250061
all_engineered,2.0,None,0.7559320283528141,0.5164943023109332,0.4306944375502792,0.13524404156725767
