model,feature_set,best_threshold_margin,validation_labeled_realized_npv,validation_labeled_approved,validation_labeled_approval_rate,validation_labeled_default_rate_approved,overlap_with_current_labeled_decisions,validation_all_approval_rate,test_approval_rate,approved_total,prior_declined_approved_total,prior_declined_approval_rate,mean_validation_pd,mean_test_pd,auroc,log_loss,brier,mean_pd,actual_default_rate,note
lightgbm,no_prior_score,0.009380087912607058,3867998.4575711302,2012,0.7887103096824775,0.07803180914512922,0.9447275578204626,0.6776564936511472,0.6763071339457866,9005,3104.0,0.536004144361941,0.267319300295022,0.27156137678852427,0.7441872036802328,0.43641499784939347,0.13688934914451764,0.20925656044758084,0.2061936495491964,
hgb,no_prior_score,0.006355992245569666,3835203.979642695,2012,0.7887103096824775,0.07852882703777336,0.9588396707173658,0.678547560703943,0.6793694000226834,9036,3115.0,0.5379036435848731,0.2703425348248885,0.2731730042535019,0.7526461061822278,0.43148405834002984,0.1362767817764367,0.20847988099380943,0.2061936495491964,
active_submission_direct_npv_blend,active_project,,3834516.5002022013,2047,0.8024304194433556,0.08158280410356619,1.0,0.6934729338382714,0.6902574571849835,9199,,,,,0.7549791109233441,0.43064151974573134,0.13530076532735805,0.21255452038895498,0.2061936495491964,actual current submitted decisions
family_mean_blend,no_prior_score,0.006338831416585721,3819716.851611398,2012,0.7887103096824775,0.07852882703777336,0.9588396707173658,0.6772109601247494,0.6784620619258251,9022,3101.0,0.5354860991193231,0.26894308597386074,0.2726845000279066,0.7533295779937098,0.43139445944533406,0.13569639383491233,0.208608875393087,0.2061936495491964,
family_mean_blend,current_predictive,0.0075,3812869.128659637,2020,0.7918463347706781,0.0801980198019802,0.9549196393571149,0.6783247939407441,0.6806169899058637,9046,3112.0,0.5373855983422552,0.27005892705308976,0.27328030974878864,0.7518804863164813,0.43218263341735175,0.13582014862684816,0.20676493238251212,0.2061936495491964,
lightgbm,current_predictive,0.0187023727592622,3812452.7523629074,1948,0.7636221089768718,0.07443531827515401,0.9368874950999608,0.6464691468032969,0.6486333219916072,8621,2904.0,0.5014677948540839,0.2668188892001163,0.27104094553233504,0.7426545556963808,0.4383579462167327,0.13764572156003704,0.20695518437880034,0.2061936495491964,
hgb,current_predictive,0.0049999999999999975,3812063.8704799754,2020,0.7918463347706781,0.0801980198019802,0.955703645629165,0.6765426598351526,0.6763071339457866,9000,3072.0,0.5304783284406838,0.27760802451372507,0.28004204051859044,0.7520067596113224,0.4332509183114926,0.13652495386630284,0.2104964390876775,0.2061936495491964,
active_curves_pd_retuned,active_project,0.005295724140441836,3790839.2847110215,2012,0.7887103096824775,0.08001988071570576,0.9619756958055664,0.6716417910447762,0.6712033571509584,8933,3047.0,0.5261612847522017,0.27648434753138934,0.2788170340805326,0.7549791109233441,0.43064151974573134,0.13530076532735805,0.21255452038895498,0.2061936495491964,active PD curves retuned by validation NPV margin
catboost,no_prior_score,0.015599710608160474,3781043.4939060193,1948,0.7636221089768718,0.07443531827515401,0.9447275578204626,0.6486968144352863,0.648973573777929,8634,2903.0,0.5012951131065446,0.2691674228016717,0.2733191190416936,0.7503046519269586,0.4357834106247583,0.13682617461490104,0.2080901847378707,0.2061936495491964,
catboost,current_predictive,-0.0025000000000000022,3778760.7689966923,2085,0.8173265386123089,0.086810551558753,0.9607996863974911,0.7119625751837826,0.7128274923443348,9481,3356.0,0.5795199447418408,0.265749867445428,0.2687579431954403,0.7520278833967047,0.4345670985856093,0.13641805997662135,0.20284317368105856,0.2061936495491964,
