model,feature_set,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
hgb,current_predictive,0.0049999999999999975,2020,0.7918463347706781,3812063.8704799754,1887.16033192078,0.0801980198019802,0.955703645629165
hgb,current_predictive,0.0024999999999999953,2034,0.7973343786750294,3792776.154026579,1864.688374644336,0.08210422812192723,0.955703645629165
hgb,current_predictive,-0.0050000000000000044,2078,0.8145825166601333,3791442.7879957734,1824.5634205946935,0.08421559191530317,0.9549196393571149
hgb,current_predictive,0.005756564383820475,2012,0.7887103096824775,3785783.6314120973,1881.602202491102,0.08001988071570576,0.955703645629165
hgb,current_predictive,-0.017903771473956588,2141,0.8392787142297138,3782529.1668276065,1766.711427756939,0.09014479215319944,0.9490395923167385
hgb,current_predictive,-0.023184525422006136,2173,0.8518228145825166,3781042.388277523,1740.0103029348934,0.09249884951679706,0.9411995295962368
hgb,current_predictive,0.0075,2006,0.7863582908663269,3776521.5201040893,1882.6129212881801,0.07976071784646062,0.9549196393571149
hgb,current_predictive,-0.022500000000000003,2168,0.8498627989023912,3770389.436016708,1739.1095184578912,0.09225092250922509,0.942375539004312
hgb,current_predictive,-0.0025000000000000022,2063,0.808702469619757,3770125.1650278065,1827.496444511782,0.0838584585555017,0.9537436299490396
hgb,current_predictive,-0.004686298632586244,2076,0.8137985103880832,3766817.777523543,1814.459430406331,0.08429672447013488,0.955703645629165
hgb,current_predictive,-0.025,2179,0.8541748333986672,3762450.4810302053,1726.6867742222144,0.09316200091785222,0.9396315170521364
hgb,current_predictive,-0.0175,2137,0.8377107016856135,3761444.325652671,1760.1517668005013,0.09031352363125877,0.9490395923167385
hgb,current_predictive,0.0009904617573334314,2044,0.8012544100352803,3760368.975409935,1839.710849026387,0.08365949119373776,0.9564876519012152
hgb,current_predictive,0.0,2049,0.8032144257154057,3759126.6953083584,1834.6152734545428,0.08394338701805759,0.9553116424931399
hgb,current_predictive,-0.020000000000000004,2155,0.8447667581340651,3756291.0335283168,1743.0584842358778,0.09187935034802784,0.9459035672285379
hgb,current_predictive,0.009999999999999995,1995,0.782046256370051,3748324.3091857187,1878.8593028499843,0.08020050125313283,0.9537436299490396
hgb,current_predictive,-0.0075,2085,0.8173265386123089,3747764.5475429855,1797.4889916273312,0.08585131894484413,0.9529596236769894
hgb,current_predictive,0.011713582411573909,1980,0.7761662093296746,3731848.485673181,1884.7719624612025,0.0797979797979798,0.950999607996864
hgb,current_predictive,0.012499999999999997,1975,0.7742061936495492,3731497.1105743106,1889.3656256072459,0.0789873417721519,0.9498235985887887
hgb,current_predictive,-0.027500000000000004,2188,0.857702861622893,3728844.58870735,1704.2251319503428,0.09414990859232175,0.9368874950999608
hgb,current_predictive,0.0175,1934,0.7581340650725206,3725960.556952334,1926.556647855395,0.07652533609100311,0.9415915327322618
hgb,current_predictive,0.019734249077276837,1916,0.751078008624069,3721441.6093985853,1942.297290917842,0.07515657620041753,0.9384555076440612
hgb,current_predictive,-0.030000000000000002,2197,0.8612308898471188,3721151.9164422434,1693.7423379345669,0.09512972234865726,0.9341434731477852
hgb,current_predictive,0.020000000000000004,1913,0.7499019992159938,3713450.040564856,1941.165729516391,0.07527443805541036,0.9372794982359859
hgb,current_predictive,-0.0325,2206,0.8647589180713445,3713267.1606821427,1683.2580057489315,0.09610154125113328,0.9306154449235594
hgb,current_predictive,-0.03243385274791884,2205,0.8643669149353195,3712527.6247752383,1683.6859976304936,0.09614512471655329,0.9310074480595845
hgb,current_predictive,0.015,1956,0.7667581340650725,3702018.8281505993,1892.6476626536805,0.07822085889570553,0.9462955703645629
hgb,current_predictive,-0.015,2126,0.8333986671893375,3698862.123765683,1739.8222595323061,0.08984007525870179,0.9502156017248138
hgb,current_predictive,0.015808844912654073,1948,0.7636221089768718,3696691.8434626227,1897.68575126418,0.07802874743326489,0.9447275578204626
hgb,current_predictive,-0.010000000000000002,2095,0.8212465699725597,3695970.935585701,1764.1866040981865,0.0883054892601432,0.9537436299490396
hgb,current_predictive,-0.011861651474329372,2108,0.8263426107408859,3695549.6040049456,1753.1070227727446,0.08918406072106262,0.9533516268130146
hgb,current_predictive,-0.035,2215,0.8682869462955703,3693516.3841309072,1667.5017535579716,0.09706546275395034,0.9286554292434339
hgb,current_predictive,0.022299719974059048,1884,0.7385339082712662,3684440.385335692,1955.647762917034,0.0737791932059448,0.9290474323794591
hgb,current_predictive,-0.012500000000000004,2115,0.8290866326930616,3680335.66964817,1740.1114277296313,0.08983451536643026,0.9529596236769894
hgb,current_predictive,0.022499999999999992,1882,0.737749901999216,3680303.5217385693,1955.5279074062537,0.07385759829968119,0.9282634261074089
hgb,current_predictive,-0.037500000000000006,2227,0.8729909839278714,3666043.0446330663,1646.1800829066306,0.0983385720700494,0.9239513916111329
hgb,current_predictive,-0.06384530281637973,2301,0.9019992159937279,3651180.51518704,1586.7798849139679,0.10386788352890047,0.8996471971775775
