buffer_per_dollar,matches_active_submission,approved_total,validation_labeled_approved,validation_labeled_realized_npv
0.005,12746,8953,2015,3789087.6615743465
0.0075,12698,8849,2000,3774684.426799793
0.0025,12787,9056,2028,3758372.9520621216
0.0,12805,9160,2048,3749337.6652199132
0.0125,12542,8597,1950,3741298.004616418
-0.01,12774,9525,2112,3740325.2198976665
0.015,12436,8467,1927,3699433.6972991424
0.01,12631,8720,1974,3697771.387472624
-0.02,12607,9838,2157,3689786.872014033
0.02,12217,8202,1882,3643352.724517202
0.03,11720,7645,1781,3595755.968528441
0.04,11157,7056,1680,3527040.6502241595
0.05,10513,6408,1556,3307323.8856919184
