policy,approved_total,prior_declined_approved,approval_rate,headline_expected_npv,prior_declined_expected_npv,labeled_validation_approved,labeled_validation_realized_npv,mean_pd_approved
current_guarded,7973,2145,0.5992033669021494,14706219.845620511,4190378.6582722813,1975,2652215.113146782,0.12297673972001995
zero_prior_declined,5828,0,0.4379978956861566,10515841.18734823,0.0,1975,2652215.113146782,0.12639579053704497
prior_declined_support_ge_0p40,7951,2123,0.5975499774537802,14659204.21316006,4143363.02581183,1975,2652215.113146782,0.12296932016458585
prior_declined_support_ge_0p55,7418,1590,0.5574928603637457,13626585.590591691,3110744.403243461,1975,2652215.113146782,0.12251308930441955
prior_declined_break_even_gamma_ge_6x,7457,1629,0.5604238689313091,13905220.947638895,3389379.7602906656,1975,2652215.113146782,0.12036521434607424
sector_prior_declined_30pct_cap,7567,1739,0.568690816173155,14081584.509921517,3565743.322573286,1975,2652215.113146782,0.12081480013824526
current_with_prior_declined_1x_odds_stress,7973,2145,0.5992033669021494,14706219.845620511,4190378.6582722813,1975,2652215.113146782,0.12297673972001995
current_with_prior_declined_1.5x_odds_stress,7973,2145,0.5992033669021494,14341088.358692331,3825247.1713441014,1975,2652215.113146782,0.13543030127249897
current_with_prior_declined_2x_odds_stress,7973,2145,0.5992033669021494,14018997.867946375,3503156.6805981454,1975,2652215.113146782,0.14648715712172555
current_with_prior_declined_3x_odds_stress,7973,2145,0.5992033669021494,13474356.448790984,2958515.2614427544,1975,2652215.113146782,0.16533886110814128
current_with_prior_declined_4x_odds_stress,7973,2145,0.5992033669021494,13029217.425989065,2513376.2386408355,1975,2652215.113146782,0.18089330139153156
current_with_prior_declined_6x_odds_stress,7973,2145,0.5992033669021494,12340396.84602601,1824555.658677781,1975,2652215.113146782,0.20522578026586732
current_with_prior_declined_10x_odds_stress,7973,2145,0.5992033669021494,11431293.333593987,915452.1462457572,1975,2652215.113146782,0.2378301024178781
