feature,segment,rows,validation_rows,test_rows,approved_count,approval_rate,prior_declined_rows,prior_declined_approved,prior_declined_approval_rate,labeled_rows,observed_default_rate,approved_labeled_rows,approved_observed_default_rate,mean_predicted_pd,mean_pd_approved,mean_pd_interval_width,mean_approval_support,expected_npv_total_approved,expected_npv_margin_approved,labeled_validation_realized_npv_approved,mean_break_even_pd_approved,mean_pd_headroom_approved
pd_risk_tier,medium,6831,2316,4515,5545,0.81174059434929,2970,1759,0.5922558922558923,1326,0.19457013574660634,1303,0.1910974673829624,0.21776305114667122,0.19408241698013898,0.16,0.5593752492541016,7739500.270367535,0.050709363125368924,2103313.3096023467,0.5348945239959446,0.3378624866795424
pd_risk_tier,low,3405,1149,2256,3405,1.0,829,829,1.0,865,0.07861271676300578,865,0.07861271676300578,0.06346905441586281,0.06346905441586281,0.14289152107903808,0.7568831624912075,7109830.761888208,0.08668970187423156,1825408.16680535,0.7671805594814398,0.6996424115924691
pd_risk_tier,high,3070,1024,2046,83,0.027035830618892507,1992,3,0.0015060240963855422,360,0.5555555555555556,28,0.25,0.6139428547777499,0.429023638144836,0.15566424672547083,0.3596092783297523,-27411.684566575746,-0.010885339035292872,-16241.333768524053,0.3966385894697356,-0.03238504867510052
predicted_pd_quintile,"(0.248, 0.491]",3497,1210,2287,1166,0.33342865313125536,1922,102,0.053069719042663895,550,0.3236363636363636,380,0.25526315789473686,0.37689718931624766,0.3266890422051568,0.16000000000000006,0.45140893608311106,354413.85946044,0.010292223025876394,243372.69396314706,0.39491679573732613,0.06822775353216928
predicted_pd_quintile,"(0.0, 0.0697]",3223,1089,2134,3223,1.0,767,767,1.0,829,0.07237635705669482,829,0.07237635705669482,0.06192608714038992,0.06192608714038992,0.14192608714038993,0.7609261514443537,6733959.437959384,0.08715587284691179,1814022.8578602187,0.7714996682438314,0.7061172174994398
predicted_pd_quintile,"(0.0697, 0.161]",2618,916,1702,2618,1.0,928,928,1.0,597,0.15912897822445563,597,0.15912897822445563,0.12993525560222818,0.12993525560222818,0.15999917892308932,0.6432559905427664,4938165.329316759,0.07056877303775666,1206682.12803774,0.652095371982381,0.5209322570875452
predicted_pd_quintile,"(0.161, 0.248]",2156,679,1477,2025,0.9392393320964749,925,794,0.8583783783783784,390,0.18461538461538463,390,0.18461538461538463,0.2021006516012465,0.20081054423688463,0.16,0.5528654601383763,2795462.487993996,0.04830073446082117,648402.4627780672,0.48589679351125625,0.28492153003973103
predicted_pd_quintile,"(0.491, 0.999]",1812,595,1217,1,0.0005518763796909492,1249,0,0.0,185,0.654054054054054,0,,0.7146574740205853,0.589041095890411,0.15265410455143233,0.3284855571316646,-81.76704141056211,-0.00377505777853122,0.0,0.5646880008071571,-0.024353095083253895
approval_support_quintile,"(0.133, 0.402]",2662,903,1759,282,0.10593538692712247,1899,75,0.03949447077409163,256,0.55859375,76,0.3815789473684211,0.5637300757703098,0.2684794626092674,0.1552223882194641,0.3074113115191559,163643.3635200311,0.01732811048022768,82216.98707584887,0.3497587863192417,0.08127932370997427
approval_support_quintile,"(0.402, 0.511]",2661,900,1761,1352,0.5080796692972567,1418,485,0.34203102961918197,422,0.31516587677725116,304,0.24013157894736842,0.33949975746669075,0.22515942682213572,0.15943722957259146,0.45845119578959287,1482675.4340611673,0.03599043131155534,363523.1711711382,0.41850572925111107,0.1933463024289754
