fold,method,brier,logloss,ece,npv,nfund
0,raw,0.1180786454896771,0.3852532705857056,0.008303261214316696,11065457.431727685,8208
0,isotonic,0.11800310002869287,0.38446669518520604,0.00793656945480884,11006431.082898702,8380
0,platt,0.11807645151420369,0.38513514571892943,0.006661004171977915,11094375.180550221,8157
0,beta,0.11807630841867087,0.38489367725578016,0.008434509873595942,11058072.646872895,8305
1,raw,0.1162996406431678,0.3816633861668123,0.005569475341604431,10673515.203776497,8268
1,isotonic,0.11639991367346712,0.38096423520985856,0.006853700295248825,10662831.995847594,8168
1,platt,0.11631343351822906,0.3815572438064743,0.005961336687877459,10655529.2615154,8201
1,beta,0.11623485400236304,0.38088015450279444,0.006226638088688627,10760628.618431313,8341
2,raw,0.11595870033020912,0.3787761713897281,0.014905745133104355,10541846.788154174,8177
2,isotonic,0.11611277045129063,0.3790776103525331,0.012760601380579318,10462254.698626768,8096
2,platt,0.11601591197478078,0.3789022088878943,0.016531664075141825,10506823.435859572,8125
2,beta,0.11595862843481601,0.3787751467174011,0.014491517066195485,10548318.81512022,8307
3,raw,0.1168093829447214,0.382353881382712,0.0070830228925173495,10748559.05076915,8219
3,isotonic,0.11696113886480189,0.38211987071162884,0.009243377261697047,10753452.71131932,8152
3,platt,0.11681429198015209,0.38223450750552607,0.0069499481253901246,10767085.05953075,8180
3,beta,0.11672726158213466,0.3817040246358671,0.0077499479013137095,10738259.553448707,8311
4,raw,0.1167046249752357,0.38103867609413977,0.01071526459989066,10498465.805385802,8257
4,isotonic,0.11676104997208711,0.38192266087550203,0.00838585229768512,10456222.786501465,8398
4,platt,0.11669994779472306,0.3809497230976656,0.009821215444966069,10566108.186427804,8221
4,beta,0.1166971404941459,0.3807974255261698,0.011596349138408462,10494472.009786138,8363
